,videoId,item_type,authorDisplayName,textDisplay,textOriginal,authorChannelUrl,likeCount,category,isBad
181,MwJtbty1hbI,1,최유찬,자기가 캐리해야 밸런스 맞는데 안풀려서 그 뒤로 ㅈ망던지면서 짐,자기가 캐리해야 밸런스 맞는데 안풀려서 그 뒤로 ㅈ망던지면서 짐,http://www.youtube.com/channel/UCEG70KroXcw12RAgQbidPTQ,0,game,0
182,MwJtbty1hbI,1,yh c,&quot;그때는 몰랐죠. 저 팬다는 상대가 팀원들일줄은.&quot;&quot;,"""그때는 몰랐죠. 저 팬다는 상대가 팀원들일줄은.""""",http://www.youtube.com/channel/UCdH6TGrhOiyv1DwT56FzBCQ,1,game,0
183,MwJtbty1hbI,0,윤도현,&quot;저희 업소는 반찬을 재활용합니다&quot;,"""저희 업소는 반찬을 재활용합니다""",http://www.youtube.com/channel/UCiAcnkJBBrwja4Ovw8OQsdg,153,game,0
184,MwJtbty1hbI,1,ᄋᄋ,@우왕한놈 파이고모 깍두기 재활용,@우왕한놈 파이고모 깍두기 재활용,http://www.youtube.com/channel/UCijZz5qol8gA5_udsHPHM4w,0,game,0
185,MwJtbty1hbI,1,jj j,@우왕한놈 고몬가 뭐시긴가 운영하는 식당에서 깍뚜기 이슈 있었음 검색해보셈,@우왕한놈 고몬가 뭐시긴가 운영하는 식당에서 깍뚜기 이슈 있었음 검색해보셈,http://www.youtube.com/channel/UCXnmS4085g6JDyxPbZvWXTg,0,game,0
186,MwJtbty1hbI,1,J.J J.,@우왕한놈 깍두기좌,@우왕한놈 깍두기좌,http://www.youtube.com/channel/UCf-3hQTyIPB2vhEgFfmyaTw,0,game,0
187,MwJtbty1hbI,1,우왕한놈,이건 무슨말이야?? 파이랑 관련있는거야?,이건 무슨말이야?? 파이랑 관련있는거야?,http://www.youtube.com/channel/UCgbMcspAIaHn7GbbAdFqFTA,0,game,0
188,MwJtbty1hbI,1,J.J J.,3.14좌,3.14좌,http://www.youtube.com/channel/UCf-3hQTyIPB2vhEgFfmyaTw,8,game,0
189,MwJtbty1hbI,0,배현준,"<a href=""https://www.youtube.com/watch?v=MwJtbty1hbI&amp;t=1m05s"">1:05</a> 와 저집자 진짜 장면전환 ㅈㄴ 스무스하네",1:05 와 저집자 진짜 장면전환 ㅈㄴ 스무스하네,http://www.youtube.com/channel/UCydzHc9WqAQku91VyL3sq8A,1,game,0
190,MwJtbty1hbI,0,박상훈,&quot; 인섹 리신하면 오히려 땡큐야 &quot;,""" 인섹 리신하면 오히려 땡큐야 """,http://www.youtube.com/channel/UCTg4Me9GiVaSSXdXuFzHPpg,2,game,0
